---
quantity: σxx
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
T: 14.0
---
# qy,σxx
4.1717542250108846e7,3.232838767173333e7 - 0.011696275871547607im
4.181686973165672e7,3.2266473092621695e7 + 0.0363282394898722im
4.19161972132046e7,3.2204789494993597e7 - 0.033034607638247164im
4.201552469475248e7,3.214333559565027e7 + 0.007721851748497026im
4.2114852176300354e7,3.208211010715816e7 + 0.029301647221666578im
4.221417965784823e7,3.2021111859778486e7 - 0.018890041173224462im
4.231350713939611e7,3.1960339495848842e7 - 0.0040107074259051025im
4.2412834620943986e7,3.1899791990349814e7 - 0.09751449221354234im
4.251216210249186e7,3.1839467909513634e7 + 0.013572187594456822im
4.261148958403974e7,3.177936613274272e7 - 0.032985737226776335im
4.271081706558762e7,3.1719485376428377e7 - 0.016257889902809033im
4.2810144547135495e7,3.165982460182618e7 + 0.06232714355473872im
4.290947202868337e7,3.1600382478756312e7 - 0.11242498959991046im
4.300879951023125e7,3.1541158025081046e7 - 0.03496482537561046im
4.3108126991779126e7,3.1482149945910946e7 + 0.005842660471523264im
4.3207454473327e7,3.1423357084011503e7 + 0.011391002239081974im
4.330678195487488e7,3.1364778307832774e7 + 0.04175624714090378im
4.340610943642276e7,3.130641254745637e7 + 0.07207971277464688im
4.3505436917970635e7,3.1248258403859027e7 + 0.06506891426678577im
4.360476439951851e7,3.1190315091911264e7 + 0.02621747078756988im
4.370409188106639e7,3.1132581416392155e7 - 0.031583198471571906im
4.380341936261427e7,3.1075056135022633e7 - 0.009590786158332787im
4.3902746844162144e7,3.1017738189297955e7 - 0.020798650294998552im
4.400207432571002e7,3.09606265972452e7 - 0.07708858017922461im
4.41014018072579e7,3.0903720051172152e7 - 0.07510625516120992im
4.4200729288805775e7,3.0847017738455705e7 + 0.033789871025142956im
4.430005677035365e7,3.079051831818345e7 + 0.03211071171705697im
4.439938425190153e7,3.0734221003911313e7 - 0.03418436483284274im
4.449871173344941e7,3.067812454157329e7 - 0.03715662706831344im
4.4598039214997284e7,3.0622228015581887e7 + 0.008201660789157092im
4.469736669654516e7,3.0566530229384348e7 + 0.027281548812378077im
4.479669417809304e7,3.0511030206285674e7 - 0.055544383747190354im
4.4896021659640916e7,3.0455727011531983e7 + 0.006237379876650175im
4.499534914118879e7,3.0400619599810366e7 - 0.023520841950446677im
4.509467662273667e7,3.0345706723569848e7 + 0.036433865043936704im
4.519400410428455e7,3.0290987777908232e7 + 0.0035343951654227893im
4.5293331585832424e7,3.0236461453023504e7 + 0.04585738401171903im
4.53926590673803e7,3.0182126836364657e7 + 0.03821656892103181im
4.549198654892818e7,3.0127983009868555e7 + 0.024459701564281858im
4.5591314030476056e7,3.0074028962590273e7 - 0.02061460317645451im
4.569064151202393e7,3.0020263620740145e7 + 0.02955321561676818im
4.578996899357181e7,2.9966686192461457e7 + 0.058455696246639856im
4.588929647511969e7,2.9913295528541464e7 - 0.05048470566150202im
4.5988623956667565e7,2.986009090850062e7 + 0.08115815501829453im
4.608795143821544e7,2.9807071206182297e7 - 0.013561966931036014im
4.618727891976332e7,2.9754235508694932e7 - 0.1261118177376636im
4.62866064013112e7,2.970158284467918e7 - 0.04109525426312323im
4.638593388285907e7,2.9649112437825397e7 - 0.0661110532005182im
4.648526136440695e7,2.959682310140003e7 + 0.015289123750882504im
4.658458884595483e7,2.95447143349655e7 + 0.04475447136198747im
4.6683916327502705e7,2.9492784778666954e7 + 0.002819954579213527im
4.678324380905058e7,2.9441033833401218e7 - 0.09373418947571571im
4.688257129059846e7,2.938946044144153e7 + 0.008448315946145271im
4.698189877214634e7,2.9338063812674537e7 - 0.040298462892125915im
4.7081226253694214e7,2.928684305368787e7 - 0.018575590996949387im
4.718055373524209e7,2.9235797153187666e7 + 0.029019886560746697im
4.727988121678997e7,2.918492548926316e7 + 0.04302367623275987im
4.7379208698337846e7,2.9134226850623034e7 - 0.0032058735913539456im
4.747853617988572e7,2.908370066621544e7 - 0.06953544315508862im
4.75778636614336e7,2.9033346027300995e7 - 0.0013456715560487232im
4.767719114298148e7,2.898316186847278e7 - 0.028094266966916307im
4.7776518624529354e7,2.893314756564494e7 + 0.050351611260546304im
4.787584610607723e7,2.8883302239780284e7 + 0.00550679356566238im
4.797517358762511e7,2.8833625142537456e7 + 0.02798063294137734im
4.8074501069172986e7,2.8784115206939843e7 - 0.0186274014386004im
4.817382855072086e7,2.8734771760290965e7 + 0.002589039437308493im
4.827315603226874e7,2.868559399665258e7 + 0.047176438285406505im
4.837248351381662e7,2.8636581087329645e7 + 0.030248663234321006im
4.8471810995364495e7,2.8587732091678917e7 + 0.010637626031395979im
4.857113847691237e7,2.8539046470767953e7 + 0.01732052437257791im
4.867046595846025e7,2.8490523250838615e7 + 0.052840660403282814im
4.8769793440008126e7,2.8442161625848096e7 + 0.03692552890478759im
4.8869120921556e7,2.839396080498584e7 + 0.007537916951186274im
4.896844840310388e7,2.834592013338899e7 - 0.018226759460527497im
4.906777588465176e7,2.829803873559154e7 + 0.03599395884792479im
4.9167103366199635e7,2.8250315720542412e7 - 0.0018673702579234906im
4.926643084774751e7,2.820275061069939e7 - 0.08827951148151285im
4.936575832929539e7,2.8155342472954195e7 - 0.019395364267895697im
4.946508581084327e7,2.8108090581884935e7 + 0.0010969164330624117im
4.9564413292391144e7,2.806099406900662e7 + 0.006111452559732977im
4.966374077393902e7,2.801405236206401e7 + 0.005912991089186872im
4.97630682554869e7,2.7967264706076544e7 + 0.013774950475283277im
4.9862395737034775e7,2.79206301669679e7 - 0.002523652300279775im
4.996172321858265e7,2.787414810028361e7 + 0.05870956290860283im
5.006105070013053e7,2.7827817937139157e7 + 0.053330887983206364im
5.016037818167841e7,2.778163888161387e7 + 0.01481610973013642im
5.0259705663226284e7,2.773561000310054e7 - 0.11665688019094374im
5.035903314477416e7,2.7689730748204138e7 + 0.06018696603467157im
5.045836062632204e7,2.7644000558137484e7 - 0.011304731123723854im
5.0557688107869916e7,2.759841855822647e7 + 0.019658084532021315im
5.065701558941779e7,2.755298398566163e7 + 0.08428944358301918im
5.075634307096567e7,2.7507696181106895e7 - 0.003676335118376482im
5.085567055251355e7,2.7462554539275397e7 + 0.09187061493569657im
5.0954998034061424e7,2.7417558269470517e7 - 0.02403493758792437im
5.10543255156093e7,2.7372706820151996e7 - 0.007443635992849575im
5.115365299715718e7,2.7327999311784916e7 - 0.023479843692199923im
5.1252980478705056e7,2.728343522055597e7 - 0.029858405132128223im
5.135230796025293e7,2.7239013937661603e7 + 0.01807512883690495im
5.145163544180081e7,2.719473456269074e7 + 0.03575205210061945im
5.155096292334869e7,2.715059663262204e7 + 0.021193274594722533im
