---
quantity: σxx
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
T: 14.0
---
# qy,σxx
4.767719114298208e6,1.0121208823682234e8 + 0.023276996674227522im
4.867046595846088e6,1.0075654960647672e8 + 0.030339059037188996im
4.966374077393966e6,1.0030177111035095e8 + 0.10586849698952952im
5.065701558941846e6,9.984789078186704e7 - 0.01209982030801115im
5.165029040489726e6,9.93950389268787e7 + 0.009471128313736274im
5.264356522037604e6,9.89433372020783e7 - 0.013527271045883941im
5.363684003585484e6,9.8492899870095e7 + 0.13317624962784785im
5.463011485133363e6,9.80438346293453e7 + 0.05081561184158067im
5.562338966681242e6,9.759624179478277e7 + 0.024030775111972894im
5.661666448229122e6,9.715021524896182e7 + 0.16827477767748117im
5.760993929777001e6,9.670584319476e7 - 0.07428782887025928im
5.86032141132488e6,9.626320766630918e7 + 0.1427532819894063im
5.959648892872759e6,9.582238544030322e7 + 0.04859387456571071im
6.058976374420639e6,9.538344722649594e7 + 0.20932497138967598im
6.158303855968518e6,9.494645959765406e7 - 0.12910519735716636im
6.257631337516397e6,9.451148371123439e7 + 0.028482866372344755im
6.356958819064277e6,9.40785767649464e7 + 0.2161836838021131im
6.456286300612157e6,9.364779104241776e7 - 0.06352787082482113im
6.555613782160035e6,9.321917593856323e7 + 0.10631765752169876im
6.654941263707915e6,9.279277507967606e7 - 0.11124178337445186im
6.754268745255793e6,9.236863061504725e7 + 0.009246598071118344im
6.853596226803673e6,9.194677906347834e7 - 0.03344455642585594im
6.952923708351553e6,9.152725499138899e7 + 0.04545082159135245im
7.052251189899432e6,9.111008971468127e7 + 0.014354653459654448im
7.1515786714473115e6,9.06953108963274e7 + 0.27877606492549495im
7.250906152995191e6,9.028294426204962e7 - 0.11603666213028033im
7.350233634543071e6,8.987301202767217e7 - 0.07621605779518205im
7.44956111609095e6,8.946553463730638e7 + 0.14410393335638969im
7.548888597638829e6,8.906052955478534e7 + 0.03075429043403816im
7.648216079186709e6,8.865801254791935e7 - 0.05740432803331382im
7.747543560734587e6,8.825799646022646e7 + 0.010693251987656796im
7.846871042282467e6,8.786049309220244e7 - 0.08535444568898717im
7.946198523830347e6,8.746551128502452e7 - 0.11881946236352407im
8.045526005378225e6,8.707305908009502e7 + 0.22862120746257553im
8.144853486926105e6,8.668314237312672e7 - 0.20126624912579308im
8.244180968473984e6,8.629576490257077e7 - 0.048897361405460776im
8.343508450021863e6,8.59109300949041e7 + 0.005299132760692258im
8.442835931569744e6,8.552863891802084e7 + 0.12091649301580752im
8.542163413117621e6,8.514889173035035e7 + 0.05451214563251901im
8.641490894665502e6,8.477168705163491e7 - 0.12795685241338858im
8.740818376213381e6,8.439702237265135e7 - 0.006323898657905423im
8.84014585776126e6,8.402489482829812e7 - 0.07997901446256842im
8.93947333930914e6,8.365529892597538e7 + 0.12604407813383747im
9.038800820857018e6,8.328822982930891e7 + 0.08491135749357945im
9.138128302404897e6,8.292368067884682e7 - 0.009103679572436832im
9.237455783952778e6,8.256164409716667e7 + 0.2526791365378176im
9.336783265500657e6,8.220211252010772e7 + 0.023112450247749206im
9.436110747048536e6,8.184507634466372e7 - 0.10078434181850052im
9.535438228596415e6,8.149052647419123e7 - 0.06238119257664481im
9.634765710144294e6,8.113845255930114e7 - 0.1951948214493909im
9.734093191692175e6,8.078884375297992e7 + 0.012829095315111588im
9.833420673240053e6,8.044168873578092e7 + 0.054794620433388314im
9.932748154787932e6,8.009697515728955e7 + 0.006403673125642387im
1.003207563633581e7,7.97546914177234e7 - 0.008287011157690137im
1.0131403117883692e7,7.94148240596563e7 - 0.10012746243809836im
1.023073059943157e7,7.9077359592693e7 + 0.08720461183676359im
1.0330058080979452e7,7.874228497856323e7 - 0.06398112779160692im
1.0429385562527329e7,7.840958583465101e7 + 0.05952923892521186im
1.0528713044075208e7,7.80792477639107e7 - 0.1806113919408524im
1.0628040525623089e7,7.775125633891307e7 - 0.17685850493216976im
1.0727368007170968e7,7.742559626995543e7 + 0.07659832049222645im
1.0826695488718847e7,7.710225260427667e7 + 0.1422451105672528im
1.0926022970266726e7,7.67812103622787e7 - 0.2146337565661462im
1.1025350451814605e7,7.646245335405801e7 + 0.010814394091501086im
1.1124677933362484e7,7.614596576098992e7 - 0.034100042066071756im
1.1224005414910365e7,7.583173223197173e7 + 0.0009045625935394391im
1.1323332896458244e7,7.551973628770983e7 + 0.08261522320383516im
1.1422660378006121e7,7.520996180157562e7 - 0.11703752201257232im
1.1521987859554002e7,7.49023924170817e7 + 0.016706003520566847im
1.1621315341101881e7,7.459701152461088e7 + 0.12496232953173815im
1.172064282264976e7,7.429380352956489e7 + 0.05155427694820977im
1.1819970304197641e7,7.399275051114643e7 - 0.01114556356909311im
1.1919297785745518e7,7.369383683007418e7 + 0.1699881381782932im
1.2018625267293397e7,7.339704577528654e7 - 0.0883630166415711im
1.2117952748841278e7,7.31023600995169e7 - 0.09511858100492888im
1.2217280230389157e7,7.280976387916741e7 - 0.24941334122830683im
1.2316607711937036e7,7.25192399435257e7 - 0.16580878702576904im
1.2415935193484917e7,7.223077143263833e7 - 0.0002766468942288394im
1.2515262675032794e7,7.19443423808795e7 + 0.020812933228717467im
1.2614590156580674e7,7.165993550317214e7 + 0.03626774691045915im
1.2713917638128554e7,7.137753436182977e7 + 0.047627771117447im
1.2813245119676434e7,7.109712234021474e7 - 0.09928958734333442im
1.2912572601224314e7,7.081868261798821e7 - 0.2206558248118303im
1.3011900082772192e7,7.054219879735903e7 - 0.06698119860139999im
1.311122756432007e7,7.026765541006924e7 - 0.030816063802964616im
1.321055504586795e7,6.999503449400923e7 - 0.02065549107340178im
1.330988252741583e7,6.972432025728253e7 - 0.11085178771587902im
1.340921000896371e7,6.94554972339827e7 - 0.3021195691663966im
1.3508537490511587e7,6.918854844708033e7 + 0.10200940175339065im
1.3607864972059468e7,6.892345772267778e7 - 0.12769296630178312im
1.3707192453607347e7,6.866020990748051e7 + 0.1740127509680031im
1.3806519935155228e7,6.839878791559072e7 + 0.24971123521855124im
1.3905847416703107e7,6.813917666188276e7 + 0.08039752074859038im
1.4005174898250984e7,6.78813599212689e7 - 0.0619645907734449im
1.4104502379798863e7,6.762532252415554e7 - 0.027724746229904663im
1.4203829861346744e7,6.737104865654685e7 - 0.10263122445610162im
1.4303157342894623e7,6.711852275374897e7 + 0.2027363516089872im
1.4402484824442504e7,6.686772989410546e7 - 0.21630760848340377im
1.4501812305990381e7,6.661865430710077e7 - 0.12989998504633923im
1.460113978753826e7,6.637128125598272e7 - 0.1387894102440334im
1.4700467269086141e7,6.612559561388458e7 - 0.11158288308537223im
1.479979475063402e7,6.58815824575068e7 + 0.14587669154599756im
1.48991222321819e7,6.563922703154035e7 - 0.042046910641805574im
1.4998449713729778e7,6.5398514408693716e7 - 0.09194781001593376im
1.5097777195277657e7,6.5159430432833716e7 - 0.07852781562929836im
1.5197104676825536e7,6.492196030251846e7 + 0.07265038333577067im
1.5296432158373417e7,6.468608999668391e7 - 0.12320049803822586im
1.5395759639921296e7,6.4451805095530994e7 - 0.1492740716721722im
1.5495087121469174e7,6.421909116834931e7 + 0.006410070790468437im
1.5594414603017054e7,6.3987935014854476e7 - 0.011434439614912391im
1.5693742084564934e7,6.375832207204234e7 + 0.11612113118600419im
1.5793069566112813e7,6.3530238933739685e7 - 0.2734987784429012im
1.5892397047660694e7,6.330367220314453e7 + 0.028069801057708513im
1.599172452920857e7,6.307860767275996e7 - 0.17813567774296546im
